id,sentiment
12311_10,0.9994337
8348_2,0.00035984878
5828_4,0.8040729
7186_2,0.021970917
12128_7,0.97027314
2913_8,0.91454685
4396_1,0.023457179
395_2,0.17168461
10616_1,6.3053918e-09
9074_9,0.39658797
9252_3,0.06132239
9896_9,0.115716696
574_4,0.35428092
11182_8,0.10924384
11656_4,0.21468015
2322_4,0.5148312
8703_1,0.2236643
7483_1,0.13301973
6007_10,0.9699985
12424_4,0.011716143
4672_1,0.0084155835
10841_3,0.01378799
8954_7,0.33215627
7392_1,0.08540548
10288_8,0.992638
5343_4,0.0005269917
4950_1,3.157328e-05
9257_4,0.5016266
8689_3,0.11458835
4480_2,0.06527125
9286_10,0.990393
12245_10,0.99972373
7529_7,0.9951265
4_4,0.0035437443
5299_2,0.0027326022
12077_8,0.9880499
10701_2,0.0014785841
11579_1,0.008220696
10993_1,0.05575345
8913_1,0.027855327
1350_3,0.071613975
3804_2,0.00012172817
5025_3,0.26604295
5170_8,0.7476221
8225_8,0.9418079
6427_7,0.9664992
3165_3,0.034255587
7902_9,0.9971848
8208_3,0.0004097567
3577_8,0.991012
4865_1,0.0018378418
9063_3,0.054285534
1106_1,0.2851267
1117_9,0.99665916
1050_4,0.63200647
10755_9,0.42763054
2729_8,0.9413858
10072_10,0.9679413
2904_7,0.97400314
4584_2,0.58542144
189_4,0.047533497
6302_4,0.3720057
8138_9,0.5729034
1262_1,0.00928857
2199_10,0.90165174
6551_7,0.505402
8082_7,0.08068622
4897_8,0.9929767
7360_1,0.045309667
11012_10,0.9872454
12046_1,0.36885893
2331_2,0.9154198
8961_9,0.9934127
751_7,0.89328164
9884_10,0.8553094
10016_8,0.988996
8023_10,0.44647223
2628_1,0.0025412005
5832_1,0.005209941
7302_1,0.019655615
4501_3,0.013400329
1121_7,0.7666991
8334_3,0.32677966
9789_10,0.10057272
4230_10,0.98876345
824_4,0.0066987462
6803_9,0.9909525
3086_7,0.9835048
1135_8,0.92073
10136_1,0.0037925455
11129_3,0.0017770113
2072_8,0.8031427
9501_7,0.9232875
319_10,0.9240969
1693_7,0.99287206
