id,sentiment
12311_10,0.95503974
8348_2,0.01334292
5828_4,0.91761494
7186_2,0.6007187
12128_7,0.9204843
2913_8,0.51052445
4396_1,0.32324454
395_2,0.029757245
10616_1,0.0027134558
9074_9,0.86729604
9252_3,0.7913971
9896_9,0.73475164
574_4,0.13187774
11182_8,0.3378797
11656_4,0.2003257
2322_4,0.8170372
8703_1,0.7990245
7483_1,0.024679089
6007_10,0.8958397
12424_4,0.13327022
4672_1,0.01761257
10841_3,0.0982799
8954_7,0.25502652
7392_1,0.74841166
10288_8,0.9083828
5343_4,0.014119214
4950_1,0.004917573
9257_4,0.46092838
8689_3,0.046428192
4480_2,0.14569059
9286_10,0.51462513
12245_10,0.92363775
7529_7,0.5848901
4_4,0.18277726
5299_2,0.11923197
12077_8,0.87789553
10701_2,0.020661615
11579_1,0.04869423
10993_1,0.15108922
8913_1,0.012043047
1350_3,0.03578857
3804_2,0.093524516
5025_3,0.4375894
5170_8,0.57272476
8225_8,0.8726284
6427_7,0.6107793
3165_3,0.5202889
7902_9,0.9603937
8208_3,0.019068575
3577_8,0.8111004
4865_1,0.026298502
9063_3,0.31179497
1106_1,0.11653065
1117_9,0.6450118
1050_4,0.7690054
10755_9,0.72652143
2729_8,0.87037086
10072_10,0.9203623
2904_7,0.900105
4584_2,0.80531144
189_4,0.56191367
6302_4,0.43904725
8138_9,0.16158536
1262_1,0.015197575
2199_10,0.90222245
6551_7,0.4314114
8082_7,0.116720475
4897_8,0.95606804
7360_1,0.07824339
11012_10,0.9028002
12046_1,0.47901198
2331_2,0.7232949
8961_9,0.9759543
751_7,0.69960105
9884_10,0.45270923
10016_8,0.5223524
8023_10,0.062728666
2628_1,0.025095457
5832_1,0.031135732
7302_1,0.044113185
4501_3,0.35700443
1121_7,0.48159403
8334_3,0.3019772
9789_10,0.41710445
4230_10,0.6287321
824_4,0.031632867
6803_9,0.75095516
3086_7,0.91144174
1135_8,0.67283934
10136_1,0.015393899
11129_3,0.018790372
2072_8,0.94628453
9501_7,0.84651095
319_10,0.6500084
1693_7,0.9014659
10886_1,0.02186264
9406_8,0.8591764
10376_10,0.2323144
9902_1,0.026030693
9938_8,0.38475487
7080_9,0.90686417
11944_8,0.08419225
5249_1,0.017471643
9599_2,0.075900495
9620_1,0.12069552
11244_1,0.61269796
6841_10,0.9280789
10050_4,0.8667643
10512_9,0.7113285
11327_3,0.031123571
10681_8,0.4956536
808_3,0.7932132
546_7,0.94393706
10765_1,0.0129257105
7189_9,0.117999196
6005_9,0.83355135
11915_9,0.81470084
5740_10,0.9342694
7097_10,0.07961547
9573_10,0.7426316
5084_4,0.3167897
12332_7,0.6823166
8154_1,0.2584757
5610_1,0.55681413
5323_9,0.8529272
11034_8,0.8976675
3977_2,0.23822527
12380_7,0.10768886
1737_8,0.48316097
6030_9,0.14474282
5918_7,0.8737133
7061_9,0.88768715
266_8,0.20143759
1375_10,0.93253
8648_3,0.180669
10146_10,0.8894543
4578_10,0.6005784
4685_8,0.23289333
11843_9,0.5601073
5467_10,0.9239808
10140_10,0.9648254
7721_8,0.9550303
11208_10,0.09351985
1063_10,0.8266793
8260_10,0.2166302
3182_9,0.8807467
2797_8,0.93521
7613_2,0.91641515
11624_4,0.08247548
4847_10,0.96511483
10684_7,0.44964206
6312_1,0.8417844
4925_3,0.05473392
4125_1,0.008789551
2394_10,0.94933736
12105_10,0.86874926
7812_1,0.20387185
1061_8,0.646841
9343_3,0.4947615
7696_10,0.7757632
9355_10,0.95217574
782_9,0.9609239
9882_10,0.9803923
10642_10,0.936377
7410_2,0.0616954
9591_4,0.04147682
11902_3,0.35997033
3495_7,0.16921245
6733_1,0.041448176
4552_1,0.018694526
6722_1,0.49171624
188_10,0.91946054
5099_10,0.6413041
10313_1,0.12246258
6756_9,0.82382244
6622_2,0.013822807
4807_10,0.8257123
7173_3,0.45460615
11321_8,0.12771408
7909_9,0.42657337
8012_7,0.10248334
8615_4,0.23637259
8117_10,0.8705984
1892_10,0.74667555
4617_1,0.3481732
1893_8,0.46097696
5435_1,0.010656733
162_3,0.10090853
6516_10,0.8074967
11588_7,0.89518315
2006_1,0.006719096
1594_4,0.50704217
1472_1,0.009075367
3647_1,0.6875219
174_7,0.75579554
5539_7,0.22767363
3384_10,0.9433802
3811_4,0.3379331
4079_8,0.8201394
1179_7,0.85439473
3069_9,0.95637316
3769_8,0.7102606
9247_10,0.8981953
10434_1,0.02197783
1147_10,0.42747775
5344_7,0.9196974
8073_10,0.7370695
7833_3,0.05919941
8370_1,0.046267245
9007_8,0.056708697
6624_7,0.55577415
6683_3,0.052404318
12275_7,0.23378667
11927_8,0.656962
