id,sentiment
12311_10,0.99858284
8348_2,0.002918159
5828_4,0.8219661
7186_2,0.010947065
12128_7,0.973491
2913_8,0.8592575
4396_1,0.01998461
395_2,0.23852056
10616_1,8.408083e-09
9074_9,0.70685625
9252_3,0.0684444
9896_9,0.20189077
574_4,0.20905319
11182_8,0.026941285
11656_4,0.10141119
2322_4,0.32341018
8703_1,0.17593725
7483_1,0.16263656
6007_10,0.9673634
12424_4,0.02067381
4672_1,0.005090512
10841_3,0.024612246
8954_7,0.15613344
7392_1,0.23075514
10288_8,0.9968617
5343_4,0.0001917457
4950_1,1.4336683e-05
9257_4,0.6468777
8689_3,0.052492745
4480_2,0.052320782
9286_10,0.97967094
12245_10,0.9997112
7529_7,0.9904214
4_4,0.0041742325
5299_2,0.0015007235
12077_8,0.99735355
10701_2,0.0005698701
11579_1,0.0074808286
10993_1,0.06497061
8913_1,0.030819165
1350_3,0.085706346
3804_2,0.0003193302
5025_3,0.04851867
5170_8,0.86193293
8225_8,0.961799
6427_7,0.91835254
3165_3,0.04473814
7902_9,0.9916534
8208_3,0.00020103024
3577_8,0.9912669
4865_1,0.0018635899
9063_3,0.07823223
1106_1,0.4978588
1117_9,0.9922363
1050_4,0.48142758
10755_9,0.20441414
2729_8,0.9677165
10072_10,0.97334045
2904_7,0.94868696
4584_2,0.6259782
189_4,0.033507682
6302_4,0.17929797
8138_9,0.7711489
1262_1,0.036227364
2199_10,0.92688537
6551_7,0.37298533
8082_7,0.07616832
4897_8,0.97659165
7360_1,0.033574965
11012_10,0.98494
12046_1,0.44307074
2331_2,0.96730417
8961_9,0.9980731
751_7,0.9472339
9884_10,0.9390968
10016_8,0.9753296
8023_10,0.40973395
2628_1,0.0014384859
5832_1,0.0052338913
7302_1,0.019727644
4501_3,0.009045253
1121_7,0.73650163
8334_3,0.25318056
9789_10,0.18289144
4230_10,0.99303764
824_4,0.013300163
6803_9,0.9852579
3086_7,0.99517894
1135_8,0.8926162
10136_1,0.0059659164
11129_3,0.0011413139
2072_8,0.53512704
9501_7,0.91704655
319_10,0.9230597
1693_7,0.97001386
10886_1,0.0009182338
9406_8,0.923225
10376_10,0.033006907
9902_1,0.012168933
9938_8,0.82079726
7080_9,0.9975414
11944_8,0.24261962
5249_1,9.32195e-05
9599_2,0.09425571
9620_1,0.049725614
11244_1,0.25857812
6841_10,0.99994004
10050_4,0.9678661
10512_9,0.9553774
11327_3,0.0002815768
10681_8,0.96488565
808_3,0.22626983
546_7,0.99975187
10765_1,0.00024356239
7189_9,0.5521805
6005_9,0.91700274
11915_9,0.95404893
5740_10,0.9601121
7097_10,0.01869831
9573_10,0.9113625
5084_4,0.08864014
12332_7,0.56783164
8154_1,0.118779875
5610_1,0.0122322375
5323_9,0.97626615
11034_8,0.96342003
3977_2,0.05455954
12380_7,0.0545953
1737_8,0.5452931
6030_9,0.76207423
5918_7,0.9746528
7061_9,0.7482562
266_8,0.28674993
1375_10,0.98803526
8648_3,0.0035262823
10146_10,0.9837946
4578_10,0.95336056
4685_8,0.93011785
11843_9,0.9766896
5467_10,0.99038064
10140_10,0.94364333
7721_8,0.9901546
11208_10,0.07593351
1063_10,0.97833335
8260_10,0.6371363
